Date;Close;Open
01/05/2024; $0.14 ; $0.14 
02/05/2024; $0.14 ; $0.11 
03/05/2024; $0.14 ; $0.14 
06/05/2024; $0.14 ; $0.14 
07/05/2024; $0.14 ; $0.14 
08/05/2024;#N/A;#N/A
09/05/2024; $0.14 ; $0.14 
10/05/2024; $0.14 ; $0.14 
13/05/2024; $0.11 ; $0.11 
14/05/2024; $0.14 ; $0.14 
15/05/2024; $0.14 ; $0.14 
16/05/2024; $0.14 ; $0.11 
17/05/2024;#N/A;#N/A
21/05/2024; $0.14 ; $0.11 
22/05/2024; $0.14 ; $0.14 
23/05/2024; $0.14 ; $0.14 
24/05/2024;#N/A;#N/A
27/05/2024; $0.14 ; $0.14 
28/05/2024; $0.14 ; $0.14 
29/05/2024; $0.14 ; $0.14 
30/05/2024; $0.14 ; $0.14 
31/05/2024; $0.18 ; $0.18 
03/06/2024; $0.14 ; $0.14 
04/06/2024; $0.14 ; $0.14 
05/06/2024; $0.14 ; $0.14 
06/06/2024; $0.14 ; $0.14 
07/06/2024;#N/A;#N/A
10/06/2024; $0.12 ; $0.12 
11/06/2024;#N/A;#N/A
12/06/2024; $0.10 ; $0.12 
13/06/2024; $0.10 ; $0.10 
14/06/2024; $0.11 ; $0.11 
17/06/2024; $0.10 ; $0.11 
18/06/2024; $0.11 ; $0.10 
19/06/2024; $0.09 ; $0.09 
20/06/2024; $0.09 ; $0.09 
21/06/2024; $0.08 ; $0.08 
24/06/2024; $0.07 ; $0.08 
25/06/2024; $0.07 ; $0.08 
26/06/2024; $0.07 ; $0.07 
27/06/2024; $0.07 ; $0.07 
28/06/2024; $0.07 ; $0.07 
02/07/2024; $0.08 ; $0.08 
03/07/2024; $0.08 ; $0.08 
04/07/2024;#N/A;#N/A
05/07/2024; $0.08 ; $0.07 
08/07/2024; $0.07 ; $0.08 
09/07/2024; $0.06 ; $0.07 
10/07/2024; $0.06 ; $0.06 
11/07/2024; $0.06 ; $0.06 
12/07/2024; $0.05 ; $0.05 
15/07/2024; $0.06 ; $0.05 
16/07/2024; $0.06 ; $0.05 
17/07/2024; $0.05 ; $0.05 
18/07/2024; $0.05 ; $0.05 
19/07/2024; $0.06 ; $0.05 
22/07/2024; $0.05 ; $0.05 
23/07/2024; $0.06 ; $0.05 
24/07/2024;#N/A;#N/A
25/07/2024; $0.06 ; $0.06 
26/07/2024; $0.05 ; $0.05 
29/07/2024; $0.05 ; $0.06 
30/07/2024; $0.05 ; $0.05 
31/07/2024; $0.06 ; $0.06 
01/08/2024;#N/A;#N/A
02/08/2024; $0.06 ; $0.06 
06/08/2024; $0.04 ; $0.06 
07/08/2024; $0.05 ; $0.05 
08/08/2024; $0.05 ; $0.05 
09/08/2024;#N/A;#N/A
12/08/2024; $0.06 ; $0.06 
13/08/2024; $0.06 ; $0.05 
14/08/2024; $0.05 ; $0.05 
15/08/2024; $0.06 ; $0.06 
16/08/2024; $0.07 ; $0.06 
19/08/2024; $0.06 ; $0.06 
20/08/2024; $0.07 ; $0.07 
21/08/2024;#N/A;#N/A
22/08/2024;#N/A;#N/A
23/08/2024; $0.06 ; $0.06 
26/08/2024; $0.06 ; $0.06 
27/08/2024; $0.06 ; $0.06 
28/08/2024;#N/A;#N/A
29/08/2024;#N/A;#N/A
30/08/2024;#N/A;#N/A
03/09/2024; $0.07 ; $0.06 
04/09/2024; $0.07 ; $0.07 
05/09/2024; $0.05 ; $0.07 
06/09/2024; $0.05 ; $0.06 
09/09/2024; $0.05 ; $0.06 
10/09/2024; $0.05 ; $0.05 
11/09/2024; $0.05 ; $0.05 
12/09/2024; $0.05 ; $0.05 
13/09/2024; $0.05 ; $0.05 
16/09/2024; $0.05 ; $0.05 
17/09/2024; $0.05 ; $0.06 
18/09/2024;#N/A;#N/A
19/09/2024; $0.05 ; $0.05 
20/09/2024;#N/A;#N/A
23/09/2024; $0.05 ; $0.05 
24/09/2024; $0.05 ; $0.05 
25/09/2024; $0.05 ; $0.05 
26/09/2024; $0.05 ; $0.05 
27/09/2024;#N/A;#N/A
30/09/2024; $0.04 ; $0.04 
01/10/2024; $0.04 ; $0.04 
02/10/2024; $0.04 ; $0.04 
03/10/2024; $0.04 ; $0.04 
04/10/2024; $0.03 ; $0.04 
07/10/2024; $0.03 ; $0.03 
08/10/2024; $0.03 ; $0.03 
09/10/2024; $0.03 ; $0.03 
10/10/2024; $0.03 ; $0.03 
11/10/2024; $0.03 ; $0.03 
15/10/2024; $0.03 ; $0.03 
16/10/2024; $0.03 ; $0.03 
17/10/2024; $0.03 ; $0.03 
18/10/2024; $0.03 ; $0.03 
21/10/2024; $0.03 ; $0.03 
22/10/2024; $0.03 ; $0.03 
23/10/2024; $0.03 ; $0.03 
24/10/2024; $0.03 ; $0.03 
25/10/2024; $0.04 ; $0.03 
28/10/2024; $0.08 ; $0.04 
29/10/2024; $0.08 ; $0.09 
30/10/2024; $0.06 ; $0.09 
31/10/2024; $0.06 ; $0.06 
01/11/2024; $0.07 ; $0.06 
04/11/2024; $0.06 ; $0.07 
05/11/2024; $0.06 ; $0.07 
06/11/2024; $0.07 ; $0.06 
07/11/2024; $0.05 ; $0.06 
08/11/2024; $0.05 ; $0.06 
11/11/2024; $0.06 ; $0.07 
12/11/2024; $0.15 ; $0.06 
13/11/2024; $0.27 ; $0.15 
14/11/2024; $0.70 ; $0.42 
15/11/2024; $0.37 ; $0.65 
18/11/2024; $0.55 ; $0.37 
19/11/2024; $0.58 ; $0.65 
20/11/2024; $0.59 ; $0.60 
21/11/2024; $0.68 ; $0.59 
22/11/2024; $0.73 ; $0.72 
25/11/2024; $0.79 ; $0.88 
26/11/2024; $0.74 ; $0.80 
27/11/2024; $0.70 ; $0.75 
28/11/2024; $0.62 ; $0.68 
29/11/2024; $0.58 ; $0.61 
02/12/2024; $0.43 ; $0.57 
03/12/2024; $0.36 ; $0.39 
04/12/2024; $0.59 ; $0.40 
05/12/2024; $0.51 ; $0.63 
06/12/2024; $0.54 ; $0.51 
09/12/2024; $0.55 ; $0.56 
10/12/2024; $0.55 ; $0.56 
11/12/2024; $0.53 ; $0.56 
12/12/2024; $0.47 ; $0.53 
13/12/2024; $0.43 ; $0.46 
16/12/2024; $0.40 ; $0.43 
17/12/2024; $0.41 ; $0.41 
18/12/2024; $0.42 ; $0.42 
19/12/2024; $0.41 ; $0.38 
20/12/2024; $0.39 ; $0.39 
23/12/2024; $0.37 ; $0.39 
24/12/2024; $0.40 ; $0.36 
