"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1878721652693102602","Mon Jan 13 12:19:32 +0000 2025","1","@NizNezha Tbarklah Nezha nh tlsa idokan idbou tjdigin akm ihfd rbi akolo IG rbi osanm dlfrh","1878778909317288079","","NizNezha","in","","0","1","0","https://x.com/h0Wmx1czZbpOf2O/status/1878778909317288079","1136971452299776001","h0Wmx1czZbpOf2O"
"1878699316115886378","Mon Jan 13 07:03:16 +0000 2025","1","makrana tlsa neeku","1878699316115886378","","","in","","0","0","0","https://x.com/patrick_theqt_/status/1878699316115886378","1347021572322643970","patrick_theqt_"
"1878547123505152442","Sun Jan 12 20:58:30 +0000 2025","0","TLSA 1.5","1878547123505152442","","","in","","0","0","0","https://x.com/j_dash_score/status/1878547123505152442","1194444753925881856","j_dash_score"
"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1884600963899523278","Thu Jan 30 16:29:03 +0000 2025","0","@Yeswanthsai17 @VishnuAAdhf @LetsXOtt Arey bhai nduku atla anutunav adipursh lo songs &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;any movie songs bro etla untai tlsa gaa songs kosam iyna chudavachu nenu 3 Times poyina teater lo","1885002295441846757","","Yeswanthsai17","in","","0","0","0","https://x.com/SaiMani22227479/status/1885002295441846757","1787307829839216641","SaiMani22227479"
"1884671564399968646","Wed Jan 29 18:34:51 +0000 2025","0","TLSA 390","1884671564399968646","","","in","","0","0","0","https://x.com/colourinterlude/status/1884671564399968646","2509250108","colourinterlude"
"1883928015173988489","Tue Jan 28 11:33:46 +0000 2025","0","@facts3064 Awards anevi alsu kolamanam kdu Bommarilu movie lo andaru ki Awards vasthe hero ki raledu tlsa","1884203208677195849","","facts3064","in","","0","1","0","https://x.com/Boggulu9/status/1884203208677195849","1650757196823789569","Boggulu9"
"1883589264207921335","Mon Jan 27 11:21:33 +0000 2025","1","@RavaanMaharaaj @gayatri008_16 @PawanKalyan Maku vacchindhi ra babu.. Financial yr ki 3 cylinders annaru.. But ee yr 1?? Migtha 4 eppudu nunchi istaro? Fees Rehuimersent?? 1.L crs debts iyyayi kutami Govt occhaka em peekaro tlsa ??","1883837748160921728","","KulaSenaa","in","","0","2","0","https://x.com/routh_9999/status/1883837748160921728","1520415437825413121","routh_9999"
"1883516404521181227","Sun Jan 26 14:04:39 +0000 2025","1","NCAAB Picks - 1/26/25 DUQ -2.5 vs FOR IND +3.5 vs MD CHS +16.5 vs CCSU WIS -7.5 vs NEB UAB +7.5 vs MEM FAU +8 vs UNT WAG +2.5 vs SFPA FDU +3 vs STNH TTU -18.5 vs OKST TLSA +5.5 vs WICH ILL -8 vs NW ARMY -2.5 vs NAVY #GamblingTwitter #NCAAB","1883516404521181227","","","in","","0","0","0","https://x.com/SharpSmoove/status/1883516404521181227","1450989789545631747","SharpSmoove"
"1882998347507863608","Sat Jan 25 13:50:43 +0000 2025","0","@AlwaysMadhuu @AlwaysRamCharan Nakentha bhadhaga undhoo tlsa","1883150510850802124","","AlwaysMadhuu","in","","0","0","0","https://x.com/Spideygadu_05/status/1883150510850802124","1634781597307228164","Spideygadu_05"
